Date,signal,position
2024-06-27,0,0.06248183413487632
2024-06-28,0,0.04998546730790106
2024-06-29,0,0.03998837384632085
2024-06-30,0,0.03199069907705668
2024-07-01,0,0.025592559261645345
2024-07-02,0,0.020474047409316277
2024-07-03,0,0.016379237927453022
2024-07-04,-1,-0.1868966096580376
2024-07-05,1,0.05048271227356993
2024-07-06,0,0.04038616981885595
2024-07-07,0,0.03230893585508476
2024-07-08,1,0.22584714868406783
2024-07-09,-1,-0.01932228105274575
2024-07-10,0,-0.0154578248421966
2024-07-11,1,0.18763374012624273
2024-07-12,0,0.1501069921009942
2024-07-13,0,0.12008559368079537
2024-07-14,0,0.0960684749446363
2024-07-15,0,0.07685477995570905
2024-07-16,1,0.26148382396456726
2024-07-17,0,0.2091870591716538
2024-07-18,0,0.16734964733732305
2024-07-19,0,0.13387971786985844
2024-07-20,0,0.10710377429588676
2024-07-21,0,0.08568301943670942
2024-07-22,0,0.06854641554936754
2024-07-23,0,0.054837132439494035
2024-07-24,0,0.04386970595159523
2024-07-25,1,0.2350957647612762
2024-07-26,1,0.388076611809021
2024-07-27,0,0.3104612894472168
2024-07-28,0,0.24836903155777346
2024-07-29,0,0.19869522524621877
2024-07-30,0,0.15895618019697502
2024-07-31,1,0.32716494415758
2024-08-01,1,0.46173195532606404
2024-08-02,1,0.5693855642608512
2024-08-03,1,0.655508451408681
2024-08-04,1,0.7244067611269449
2024-08-05,1,0.779525408901556
2024-08-06,1,0.8236203271212448
2024-08-07,0,0.6588962616969959
2024-08-08,0,0.5271170093575968
2024-08-09,1,0.6216936074860775
2024-08-10,1,0.6973548859888621
2024-08-11,1,0.7578839087910898
2024-08-12,1,0.8063071270328719
2024-08-13,1,0.8450457016262976
2024-08-14,1,0.8760365613010381
2024-08-15,-1,0.5008292490408306
2024-08-16,0,0.4006633992326645
2024-08-17,1,0.5205307193861316
2024-08-18,1,0.6164245755089053
2024-08-19,1,0.6931396604071243
2024-08-20,1,0.7545117283256995
2024-08-21,1,0.8036093826605597
2024-08-22,1,0.8428875061284478
2024-08-23,1,0.8743100049027583
2024-08-24,1,0.8994480039222068
2024-08-25,1,0.9195584031377655
2024-08-26,1,0.9356467225102125
2024-08-27,1,0.9485173780081702
2024-08-28,1,0.9588139024065361
2024-08-29,1,0.9670511219252289
2024-08-30,1,0.9736408975401831
2024-08-31,1,0.9789127180321466
2024-09-01,1,0.9831301744257173
2024-09-02,1,0.9865041395405738
2024-09-03,1,0.989203311632459
2024-09-04,1,0.9913626493059673
2024-09-05,1,0.9930901194447739
2024-09-06,1,0.9944720955558191
2024-09-07,1,0.9955776764446553
2024-09-08,1,0.9964621411557244
2024-09-09,1,0.9971697129245796
2024-09-10,1,0.9977357703396637
2024-09-11,1,0.998188616271731
2024-09-12,1,0.998550893017385
2024-09-13,1,0.998840714413908
2024-09-14,1,0.9990725715311264
2024-09-15,1,0.9992580572249012
2024-09-16,1,0.999406445779921
2024-09-17,1,0.9995251566239369
2024-09-18,1,0.9996201252991497
2024-09-19,1,0.9996961002393199
2024-09-20,1,0.999756880191456
2024-09-21,1,0.9998055041531648
2024-09-22,1,0.999844403322532
2024-09-23,1,0.9998755226580256
2024-09-24,1,0.9999004181264206
2024-09-25,1,0.9999203345011365
2024-09-26,1,0.9999362676009091
2024-09-27,1,0.9999490140807274
2024-09-28,1,0.9999592112645821
2024-09-29,1,0.9999673690116657
2024-09-30,1,0.9999738952093327
2024-10-01,1,0.9999791161674663
2024-10-02,1,0.9999832929339731
2024-10-03,1,0.9999866343471786
2024-10-04,0,0.7999893074777429
2024-10-05,1,0.8399914459821944
2024-10-06,1,0.8719931567857555
2024-10-07,1,0.8975945254286044
2024-10-08,1,0.9180756203428835
2024-10-09,1,0.9344604962743068
2024-10-10,1,0.9475683970194455
2024-10-11,1,0.9580547176155565
2024-10-12,1,0.9664437740924452
2024-10-13,1,0.9731550192739562
2024-10-14,1,0.978524015419165
2024-10-15,1,0.9828192123353321
2024-10-16,1,0.9862553698682657
2024-10-17,0,0.7890042958946126
2024-10-18,1,0.8312034367156902
2024-10-19,1,0.8649627493725522
2024-10-20,1,0.8919701994980418
2024-10-21,-1,0.5135761595984334
2024-10-22,0,0.4108609276787467
2024-10-23,0,0.32868874214299737
2024-10-24,1,0.4629509937143979
2024-10-25,-1,0.17036079497151835
2024-10-26,0,0.1362886359772147
2024-10-27,0,0.10903090878177175
2024-10-28,0,0.0872247270254174
2024-10-29,0,0.06977978162033392
2024-10-30,0,0.05582382529626714
2024-10-31,1,0.24465906023701373
2024-11-01,1,0.395727248189611
2024-11-02,0,0.31658179855168883
2024-11-03,0,0.25326543884135105
2024-11-04,0,0.20261235107308084
2024-11-05,0,0.16208988085846468
2024-11-06,1,0.32967190468677177
2024-11-07,1,0.46373752374941746
2024-11-08,1,0.570990018999534
2024-11-09,0,0.45679201519962725
2024-11-10,0,0.3654336121597018
2024-11-11,1,0.49234688972776147
2024-11-12,0,0.3938775117822092
2024-11-13,1,0.5151020094257674
2024-11-14,0,0.41208160754061396
2024-11-15,0,0.3296652860324912
2024-11-16,1,0.46373222882599296
2024-11-17,1,0.5709857830607944
2024-11-18,1,0.6567886264486356
2024-11-19,1,0.7254309011589084
2024-11-20,0,0.5803447209271267
2024-11-21,0,0.4642757767417014
2024-11-22,0,0.37142062139336113
2024-11-23,0,0.2971364971146889
2024-11-24,0,0.23770919769175114
2024-11-25,1,0.3901673581534009
2024-11-26,0,0.3121338865227208
2024-11-27,0,0.24970710921817663
2024-11-28,0,0.1997656873745413
2024-11-29,1,0.35981254989963307
2024-11-30,0,0.2878500399197065
2024-12-01,1,0.4302800319357652
2024-12-02,1,0.5442240255486122
2024-12-03,0,0.43537922043888977
2024-12-04,1,0.5483033763511118
2024-12-05,1,0.6386427010808895
2024-12-06,0,0.5109141608647116
2024-12-07,1,0.6087313286917693
2024-12-08,0,0.4869850629534154
2024-12-09,0,0.38958805036273236
2024-12-10,0,0.3116704402901859
2024-12-11,0,0.24933635223214876
2024-12-12,0,0.199469081785719
2024-12-13,0,0.15957526542857522
2024-12-14,0,0.12766021234286018
2024-12-15,0,0.10212816987428815
2024-12-16,0,0.08170253589943052
2024-12-17,0,0.06536202871954443
2024-12-18,-1,-0.14771037702436446
2024-12-19,0,-0.11816830161949157
2024-12-20,0,-0.09453464129559326
2024-12-21,0,-0.07562771303647461
2024-12-22,0,-0.06050217042917969
2024-12-23,0,-0.04840173634334376
2024-12-24,0,-0.03872138907467501
2024-12-25,0,-0.03097711125974001
2024-12-26,-1,-0.22478168900779202
2024-12-27,0,-0.17982535120623364
2024-12-28,-1,-0.3438602809649869
2024-12-29,-1,-0.47508822477198953
2024-12-30,1,-0.18007057981759161
2024-12-31,0,-0.1440564638540733
